year,city_name,city_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,city_norm,source_name_version
2011,呼伦贝尔市,1507,38.39,45.02,44.1,40.71,57.63,,,38.83,,6.15,呼伦贝尔,year14
2011,呼和浩特市,1501,62.15,74.86,64.02,63.38,70.28,,,61.48,,16.79,呼和浩特,year14
2011,和田地区,6532,28.78,2.43,37.48,24.3,41.02,,,,,100.0,和田,year14
2011,咸宁市,4212,48.03,39.95,67.82,80.78,49.96,,,73.82,,38.77,咸宁,year14
2011,咸阳市,6104,54.12,42.43,53.26,29.17,38.34,,,62.19,,94.3,咸阳,year14
2011,哈密地区,6522,55.97,61.43,40.87,38.51,57.15,,,34.34,,65.41,哈密,year14
2011,哈尔滨市,2301,64.23,62.22,61.91,55.46,49.51,,,67.8,,75.1,哈尔滨,year14
2011,唐山市,1302,61.74,59.37,61.36,45.81,68.48,,,60.14,,70.22,唐山,year14
2011,商丘市,4114,35.38,16.93,54.98,39.77,12.55,,,74.39,,60.68,商丘,year14
2011,商洛市,6110,35.96,17.52,40.25,9.41,2.96,,,59.26,,89.04,商洛,year14
2011,喀什地区,6531,30.79,2.58,47.26,34.09,50.79,,,,,94.02,喀什,year14
2011,嘉兴市,3304,86.51,94.84,91.55,94.63,97.35,,,88.79,,49.83,嘉兴,year14
2011,嘉峪关市,6202,35.54,49.87,27.18,0.02,34.46,,,,,3.39,嘉峪关,year14
2011,四平市,2203,36.44,25.39,36.47,29.17,35.38,,,37.74,,72.91,四平,year14
2011,固原市,6404,17.02,13.83,4.29,0.0,5.44,,,,,50.66,固原,year14
2011,塔城地区,6542,25.91,13.9,13.56,13.41,35.02,,,4.62,,88.0,塔城,year14
2011,大兴安岭地区,2327,42.91,44.65,18.52,12.71,29.06,,,14.77,,81.5,大兴安岭,year14
2011,大同市,1402,57.7,50.97,64.47,46.07,50.36,,,72.42,,67.59,大同,year14
2011,大庆市,2306,61.53,71.89,64.46,73.0,73.62,,,59.68,,22.0,大庆,year14
2011,大理白族自治州,5329,40.84,31.36,65.88,56.43,72.13,,,64.34,,26.65,大理白族,year14
2011,大连市,2102,78.96,92.41,69.13,71.37,75.34,,,66.29,,52.43,大连,year14
2011,天水市,6205,32.79,21.36,34.21,20.58,16.91,,,42.95,,67.95,天水,year14
2011,天津市,1200,73.7,86.3,66.72,71.02,77.06,,,61.92,,44.79,天津,year14
2011,太原市,1401,70.57,90.4,50.42,48.9,58.48,,,47.23,,41.71,太原,year14
2011,威海市,3710,64.65,71.94,76.11,64.38,61.86,,,83.36,,19.74,威海,year14
2011,娄底市,4313,40.5,29.58,61.19,62.95,48.09,,,66.45,,38.97,娄底,year14
2011,孝感市,4209,44.36,30.97,61.23,54.49,60.01,,,62.5,,57.91,孝感,year14
2011,宁德市,3509,63.67,74.53,69.51,96.82,72.3,,,65.29,,17.17,宁德,year14
